position,reads,tRL,tLR,fwd strand,rev strand,Normalized Reads,Normalized Fwd Reads,Normalized Rev Reads
293,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
322,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
326,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
331,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
356,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
361,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
368,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
377,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
379,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
407,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
411,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
412,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
423,15,0.0,0.0,0.0,15.0,16.5,0.0,16.5
429,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
456,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
461,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
480,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
485,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
534,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
553,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
569,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
609,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
625,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
630,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
638,8,0.0,0.0,7.0,1.0,8.8,7.7,1.1
644,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
649,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
684,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
699,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
700,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
701,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
737,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
754,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
755,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
760,13,0.0,0.0,0.0,13.0,14.3,0.0,14.3
775,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
788,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
797,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
803,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
807,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
810,9,0.0,0.0,1.0,8.0,9.9,1.1,8.8
812,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
815,11,0.0,0.0,3.0,8.0,12.1,3.3,8.8
817,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
818,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
823,6,0.0,0.0,0.0,6.0,6.6,0.0,6.6
831,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
835,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
836,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
841,10,0.0,0.0,0.0,10.0,11.0,0.0,11.0
844,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
853,18,0.0,0.0,3.0,15.0,19.8,3.3,16.5
858,6,0.0,0.0,1.0,5.0,6.6,1.1,5.5
860,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
863,6,0.0,0.0,1.0,5.0,6.6,1.1,5.5
865,77,0.0,0.0,33.0,44.0,84.7,36.3,48.4
870,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
873,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
874,5,0.0,0.0,4.0,1.0,5.5,4.4,1.1
879,11,0.0,0.0,11.0,0.0,12.1,12.1,0.0
886,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
891,6,0.0,0.0,0.0,6.0,6.6,0.0,6.6
910,5,0.0,0.0,5.0,0.0,5.5,5.5,0.0
921,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
926,17,0.0,0.0,0.0,17.0,18.7,0.0,18.7
940,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
944,5,0.0,0.0,5.0,0.0,5.5,5.5,0.0
948,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
966,45,0.0,0.0,45.0,0.0,49.5,49.5,0.0
967,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
978,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
983,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
986,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
995,20,0.0,0.0,0.0,20.0,22.0,0.0,22.0
997,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1020,16,0.0,16.0,0.0,16.0,17.6,0.0,17.6
1036,3,0.0,3.0,0.0,3.0,3.3,0.0,3.3
1037,8,0.0,8.0,0.0,8.0,8.8,0.0,8.8
1042,7,0.0,7.0,0.0,7.0,7.7,0.0,7.7
1043,25,0.0,25.0,0.0,25.0,27.5,0.0,27.5
1044,2,0.0,2.0,0.0,2.0,2.2,0.0,2.2
1045,5,0.0,5.0,0.0,5.0,5.5,0.0,5.5
1047,29,0.0,29.0,0.0,29.0,31.9,0.0,31.9
1048,14407,28.0,14379.0,28.0,14379.0,15848.28,30.8,15817.48
1049,4888,20.0,4868.0,20.0,4868.0,5377.0,22.0,5354.99
1050,98,0.0,98.0,0.0,98.0,107.8,0.0,107.8
1051,11504,46.0,11458.0,46.0,11458.0,12654.86,50.6,12604.26
1052,207589,692.0,206897.0,692.0,206897.0,228356.21,761.23,227594.98
1053,77577,259.0,77318.0,259.0,77318.0,85337.8,284.91,85052.89
1054,153,0.0,153.0,0.0,153.0,168.31,0.0,168.31
1055,1167,12.0,1155.0,12.0,1155.0,1283.75,13.2,1270.55
1056,3551,23.0,3528.0,23.0,3528.0,3906.24,25.3,3880.94
1057,6936,39.0,6897.0,39.0,6897.0,7629.88,42.9,7586.98
1058,28,0.0,28.0,0.0,28.0,30.8,0.0,30.8
1059,1,0.0,1.0,0.0,1.0,1.1,0.0,1.1
1060,1,0.0,1.0,0.0,1.0,1.1,0.0,1.1
1061,748,1.0,747.0,1.0,747.0,822.83,1.1,821.73
1062,99,0.0,99.0,0.0,99.0,108.9,0.0,108.9
1064,230,0.0,230.0,0.0,230.0,253.01,0.0,253.01
1065,12,0.0,12.0,0.0,12.0,13.2,0.0,13.2
1066,1,0.0,1.0,0.0,1.0,1.1,0.0,1.1
1067,4,3.0,1.0,3.0,1.0,4.4,3.3,1.1
1069,7,0.0,7.0,0.0,7.0,7.7,0.0,7.7
1070,1,0.0,1.0,0.0,1.0,1.1,0.0,1.1
1144,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1163,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1193,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1202,7,0.0,0.0,7.0,0.0,7.7,7.7,0.0
1244,4,0.0,0.0,4.0,0.0,4.4,4.4,0.0
1247,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
1248,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
1252,4,0.0,0.0,4.0,0.0,4.4,4.4,0.0
1253,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
1259,9,0.0,0.0,9.0,0.0,9.9,9.9,0.0
1272,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
1274,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1281,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
1290,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1295,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
1298,12,0.0,0.0,7.0,5.0,13.2,7.7,5.5
1300,2,0.0,0.0,1.0,1.0,2.2,1.1,1.1
1304,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1308,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1311,14,0.0,0.0,0.0,14.0,15.4,0.0,15.4
1313,4,0.0,0.0,4.0,0.0,4.4,4.4,0.0
1328,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
1337,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1340,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
1345,9,0.0,0.0,0.0,9.0,9.9,0.0,9.9
1350,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1356,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1366,12,0.0,0.0,0.0,12.0,13.2,0.0,13.2
1384,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
1410,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1451,4,0.0,0.0,4.0,0.0,4.4,4.4,0.0
1460,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1464,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1496,7,0.0,0.0,7.0,0.0,7.7,7.7,0.0
1505,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1506,3,0.0,0.0,2.0,1.0,3.3,2.2,1.1
1512,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1517,7,0.0,0.0,7.0,0.0,7.7,7.7,0.0
1520,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
1524,11,0.0,0.0,5.0,6.0,12.1,5.5,6.6
1525,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
1526,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1533,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
1537,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1549,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1567,11,0.0,0.0,10.0,1.0,12.1,11.0,1.1
1568,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1570,6,0.0,0.0,1.0,5.0,6.6,1.1,5.5
1574,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
1576,6,0.0,0.0,6.0,0.0,6.6,6.6,0.0
1577,18,0.0,0.0,17.0,1.0,19.8,18.7,1.1
1579,5,0.0,0.0,4.0,1.0,5.5,4.4,1.1
1585,2,0.0,0.0,1.0,1.0,2.2,1.1,1.1
1591,46,0.0,0.0,46.0,0.0,50.6,50.6,0.0
1593,4,0.0,0.0,4.0,0.0,4.4,4.4,0.0
1601,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1602,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
1604,6,0.0,0.0,6.0,0.0,6.6,6.6,0.0
1606,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1607,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1617,9,0.0,0.0,7.0,2.0,9.9,7.7,2.2
1619,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1624,4,0.0,0.0,1.0,3.0,4.4,1.1,3.3
1625,5,0.0,0.0,0.0,5.0,5.5,0.0,5.5
1626,16,0.0,0.0,3.0,13.0,17.6,3.3,14.3
1627,16,0.0,0.0,0.0,16.0,17.6,0.0,17.6
1628,4,0.0,0.0,4.0,0.0,4.4,4.4,0.0
1629,6,0.0,0.0,5.0,1.0,6.6,5.5,1.1
1635,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1636,18,0.0,0.0,14.0,4.0,19.8,15.4,4.4
1638,11,0.0,0.0,4.0,7.0,12.1,4.4,7.7
1641,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1645,2,0.0,0.0,1.0,1.0,2.2,1.1,1.1
1647,59,0.0,0.0,11.0,48.0,64.9,12.1,52.8
1649,21,0.0,0.0,4.0,17.0,23.1,4.4,18.7
1650,4,0.0,0.0,3.0,1.0,4.4,3.3,1.1
1651,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1652,61,0.0,0.0,49.0,12.0,67.1,53.9,13.2
1654,4,0.0,0.0,1.0,3.0,4.4,1.1,3.3
1656,23,0.0,0.0,0.0,23.0,25.3,0.0,25.3
1657,18,0.0,0.0,0.0,18.0,19.8,0.0,19.8
1659,96,0.0,0.0,9.0,87.0,105.6,9.9,95.7
1661,22,0.0,0.0,0.0,22.0,24.2,0.0,24.2
1662,7,0.0,0.0,0.0,7.0,7.7,0.0,7.7
1663,9,0.0,0.0,0.0,9.0,9.9,0.0,9.9
1664,38,0.0,0.0,0.0,38.0,41.8,0.0,41.8
1665,6,0.0,0.0,0.0,6.0,6.6,0.0,6.6
1669,6,0.0,0.0,0.0,6.0,6.6,0.0,6.6
1671,49,0.0,0.0,0.0,49.0,53.9,0.0,53.9
1672,9,0.0,0.0,0.0,9.0,9.9,0.0,9.9
1675,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
1680,38,0.0,0.0,5.0,33.0,41.8,5.5,36.3
1682,4,0.0,0.0,2.0,2.0,4.4,2.2,2.2
1683,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
1684,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1685,25,0.0,0.0,6.0,19.0,27.5,6.6,20.9
1689,23,0.0,0.0,0.0,23.0,25.3,0.0,25.3
1690,13,0.0,0.0,0.0,13.0,14.3,0.0,14.3
1692,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
1694,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1695,13,0.0,0.0,0.0,13.0,14.3,0.0,14.3
1698,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1699,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
1701,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1702,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1706,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
1710,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1720,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1723,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
1727,35,0.0,0.0,0.0,35.0,38.5,0.0,38.5
1731,35,0.0,0.0,0.0,35.0,38.5,0.0,38.5
1734,11,0.0,0.0,2.0,9.0,12.1,2.2,9.9
1736,15,0.0,0.0,0.0,15.0,16.5,0.0,16.5
1746,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1747,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
1756,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1759,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
1761,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1773,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
1782,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1792,3,0.0,0.0,2.0,1.0,3.3,2.2,1.1
1824,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
1829,9,0.0,0.0,3.0,6.0,9.9,3.3,6.6
1834,3,0.0,0.0,1.0,2.0,3.3,1.1,2.2
1840,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
1868,3,0.0,0.0,1.0,2.0,3.3,1.1,2.2
1871,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1889,8,0.0,0.0,8.0,0.0,8.8,8.8,0.0
1896,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1922,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1932,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
1940,6,0.0,0.0,0.0,6.0,6.6,0.0,6.6
1942,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1945,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
1951,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
1952,8,0.0,0.0,7.0,1.0,8.8,7.7,1.1
1957,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
1958,5,0.0,0.0,5.0,0.0,5.5,5.5,0.0
1989,11,0.0,0.0,11.0,0.0,12.1,12.1,0.0
2019,4,0.0,0.0,1.0,3.0,4.4,1.1,3.3
2020,11,0.0,0.0,4.0,7.0,12.1,4.4,7.7
2023,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2028,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2032,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2037,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2042,4,0.0,0.0,0.0,4.0,4.4,0.0,4.4
2065,10,0.0,0.0,10.0,0.0,11.0,11.0,0.0
2068,6,0.0,0.0,4.0,2.0,6.6,4.4,2.2
2074,2,0.0,0.0,2.0,0.0,2.2,2.2,0.0
2078,32,0.0,0.0,3.0,29.0,35.2,3.3,31.9
2087,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2090,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2092,14,0.0,0.0,0.0,14.0,15.4,0.0,15.4
2102,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2103,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2109,7,0.0,0.0,0.0,7.0,7.7,0.0,7.7
2133,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2140,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2143,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2148,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2153,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2190,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2194,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2196,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2245,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2248,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2249,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2250,6,0.0,0.0,6.0,0.0,6.6,6.6,0.0
2267,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2278,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2295,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2310,11,0.0,0.0,0.0,11.0,12.1,0.0,12.1
2316,13,0.0,0.0,0.0,13.0,14.3,0.0,14.3
2355,4,0.0,0.0,3.0,1.0,4.4,3.3,1.1
2398,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2414,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2464,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2470,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
2485,10,0.0,0.0,10.0,0.0,11.0,11.0,0.0
2487,11,0.0,0.0,11.0,0.0,12.1,12.1,0.0
2500,7,0.0,0.0,7.0,0.0,7.7,7.7,0.0
2511,11,0.0,0.0,11.0,0.0,12.1,12.1,0.0
2515,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2520,7,0.0,0.0,7.0,0.0,7.7,7.7,0.0
2532,10,0.0,0.0,10.0,0.0,11.0,11.0,0.0
2533,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2537,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2541,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2542,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2544,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2545,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2553,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
2555,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2559,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2566,3,0.0,0.0,3.0,0.0,3.3,3.3,0.0
2571,7,0.0,0.0,7.0,0.0,7.7,7.7,0.0
2574,4,0.0,0.0,4.0,0.0,4.4,4.4,0.0
2586,5,0.0,0.0,5.0,0.0,5.5,5.5,0.0
2587,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2589,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2610,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2617,5,0.0,0.0,0.0,5.0,5.5,0.0,5.5
2624,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2628,5,0.0,0.0,5.0,0.0,5.5,5.5,0.0
2639,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2641,3,0.0,0.0,0.0,3.0,3.3,0.0,3.3
2655,11,0.0,0.0,0.0,11.0,12.1,0.0,12.1
2657,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
2663,2,0.0,0.0,0.0,2.0,2.2,0.0,2.2
2688,1,0.0,0.0,1.0,0.0,1.1,1.1,0.0
2706,1,0.0,0.0,0.0,1.0,1.1,0.0,1.1
