pos,AT%,score,A3993,A3996
761300_761400,53.0,27556,27,139
2371900_2372000,58.0,26896,9,155
4473500_4473600,45.0,25600,157,3
4098200_4098300,53.0,25281,136,23
282200_282300,62.0,24649,1,156
2876100_2876200,45.0,24336,1,155
3328900_3329000,46.0,24336,43,113
3714100_3714200,41.0,24025,140,15
4391900_4392000,70.0,23409,152,1
2939900_2940000,48.0,22801,7,144
396100_396200,52.0,22801,4,147
185200_185300,55.0,22201,144,5
641700_641800,40.0,21609,79,68
3530700_3530800,53.0,19321,1,138
3916400_3916500,47.0,19321,1,138
3049900_3050000,63.0,18496,72,64
1258400_1258500,43.0,18225,131,4
4556100_4556200,48.0,15129,2,121
468900_469000,41.0,14641,119,2
1262800_1262900,52.0,13225,89,26
1057300_1057400,57.0,12769,1,112
2519500_2519600,61.0,11025,2,103
546100_546200,51.0,10404,2,100
3325600_3325700,53.0,9216,15,81
3787100_3787200,61.0,9216,76,20
2862100_2862200,56.0,9025,28,67
316300_316400,58.0,8649,74,19
3756300_3756400,52.0,7569,72,15
2036800_2036900,73.0,7225,69,16
1918100_1918200,51.0,6724,13,69
2910300_2910400,70.0,6400,39,41
313000_313100,37.0,5329,72,1
1876600_1876700,49.0,5184,1,71
147900_148000,49.0,5041,42,29
3873500_3873600,48.0,4761,1,68
4280800_4280900,56.0,4761,46,23
3776900_3777000,44.0,4624,63,5
4409200_4409300,61.0,4489,1,66
3748700_3748800,68.0,3969,60,3
42300_42400,48.0,3844,4,58
4326500_4326600,54.0,3481,58,1
4539300_4539400,55.0,3481,52,7
1688200_1688300,58.0,3364,7,51
3381400_3381500,50.0,3364,12,46
482400_482500,47.0,3136,22,34
2894600_2894700,50.0,3025,29,26
3743700_3743800,45.0,2704,36,16
4440200_4440300,58.0,2704,15,37
3754200_3754300,46.0,2304,4,44
4487800_4487900,52.0,2116,2,44
4523000_4523100,51.0,2025,44,1
2173000_2173100,47.0,1849,42,1
240800_240900,48.0,1849,30,13
513100_513200,58.0,1849,2,41
2672400_2672500,68.0,1693,1693,0
1610500_1610600,48.0,1681,11,30
3495500_3495600,63.0,1600,8,32
24600_24700,65.0,1512,1512,0
3491000_3491100,51.0,1444,1,37
412900_413000,56.0,1369,4,33
3510400_3510500,63.0,1357,1357,0
3955400_3955500,54.0,1292,1292,0
3789100_3789200,50.0,1290,1290,0
1487300_1487400,66.0,1272,1272,0
2956200_2956300,78.0,1264,1264,0
2623100_2623200,50.0,1241,1241,0
2225200_2225300,39.0,1225,18,17
2704900_2705000,47.0,1225,16,19
1096800_1096900,67.0,1223,1223,0
3144100_3144200,50.0,1192,1192,0
4540500_4540600,45.0,1156,33,1
3665700_3665800,69.0,1149,1149,0
2008100_2008200,67.0,1118,1118,0
3811500_3811600,62.0,1107,1107,0
1579300_1579400,56.0,1089,27,6
3635000_3635100,62.0,1089,10,23
3650300_3650400,41.0,1089,29,4
3986500_3986600,51.0,1089,1,32
4322600_4322700,47.0,1089,31,2
616700_616800,76.0,1067,1067,0
867500_867600,65.0,1059,1059,0
3744100_3744200,55.0,1047,1047,0
3166700_3166800,65.0,1043,0,1043
2376400_2376500,71.0,1037,1037,0
4259600_4259700,61.0,1026,1026,0
2881700_2881800,66.0,1024,7,25
4045800_4045900,46.0,1024,1024,0
596700_596800,50.0,1024,22,10
332600_332700,64.0,1016,1016,0
3299700_3299800,50.0,1004,1004,0
3445500_3445600,68.0,1001,1001,0
3777300_3777400,58.0,991,991,0
4292200_4292300,54.0,981,981,0
4052700_4052800,51.0,962,962,0
3402300_3402400,52.0,961,1,30
3441800_3441900,39.0,961,1,30
2669100_2669200,54.0,952,952,0
1384800_1384900,68.0,949,949,0
4247600_4247700,57.0,949,949,0
1499800_1499900,61.0,938,938,0
1534300_1534400,54.0,924,924,0
2955300_2955400,72.0,912,912,0
3397000_3397100,61.0,909,909,0
3251200_3251300,43.0,900,3,27
4404000_4404100,45.0,900,900,0
946200_946300,54.0,900,27,3
3513400_3513500,77.0,892,892,0
450100_450200,72.0,886,0,886
2634900_2635000,55.0,885,885,0
3951100_3951200,72.0,884,884,0
1097200_1097300,66.0,880,880,0
2066600_2066700,69.0,875,875,0
886000_886100,67.0,873,873,0
2620500_2620600,48.0,856,856,0
1538500_1538600,58.0,854,854,0
33100_33200,46.0,854,0,854
1057500_1057600,58.0,851,851,0
252500_252600,64.0,849,849,0
2738300_2738400,68.0,848,848,0
1201300_1201400,57.0,842,842,0
3985300_3985400,69.0,832,0,832
1321300_1321400,70.0,831,0,831
2582800_2582900,50.0,830,830,0
4331400_4331500,63.0,830,830,0
459800_459900,42.0,830,830,0
3167300_3167400,44.0,827,827,0
1748200_1748300,54.0,825,825,0
3624000_3624100,61.0,824,824,0
4190200_4190300,70.0,822,822,0
1116100_1116200,54.0,818,818,0
3760700_3760800,52.0,818,818,0
3503500_3503600,43.0,815,815,0
2011400_2011500,54.0,814,0,814
1537800_1537900,65.0,813,813,0
689000_689100,60.0,812,812,0
2450100_2450200,61.0,805,805,0
2679500_2679600,48.0,801,801,0
1072200_1072300,64.0,798,798,0
4281200_4281300,54.0,797,797,0
3712800_3712900,63.0,795,795,0
3133600_3133700,65.0,794,794,0
2838400_2838500,60.0,792,792,0
2182900_2183000,55.0,789,0,789
2654300_2654400,46.0,788,788,0
2345900_2346000,41.0,786,786,0
4432800_4432900,63.0,779,779,0
4142900_4143000,59.0,778,0,778
4463900_4464000,46.0,766,766,0
1301200_1301300,56.0,763,0,763
2958700_2958800,61.0,760,760,0
1244600_1244700,59.0,759,759,0
2455600_2455700,79.0,759,759,0
4312700_4312800,63.0,759,759,0
694400_694500,58.0,759,759,0
4153800_4153900,58.0,757,757,0
4018300_4018400,53.0,751,751,0
4477800_4477900,49.0,751,751,0
1009800_1009900,50.0,750,750,0
1200300_1200400,77.0,741,741,0
1106800_1106900,52.0,740,740,0
3787700_3787800,45.0,738,738,0
2133800_2133900,54.0,736,736,0
2863400_2863500,47.0,733,733,0
3164300_3164400,63.0,733,733,0
161800_161900,50.0,731,731,0
2624100_2624200,63.0,731,0,731
4047200_4047300,48.0,731,731,0
2109600_2109700,62.0,730,730,0
3317200_3317300,59.0,729,729,0
3053400_3053500,46.0,726,726,0
4391100_4391200,73.0,720,720,0
655500_655600,41.0,720,720,0
3500700_3500800,44.0,716,716,0
1548600_1548700,50.0,712,712,0
3128000_3128100,43.0,710,710,0
4478900_4479000,58.0,708,0,708
2405100_2405200,46.0,707,707,0
3619300_3619400,41.0,706,0,706
1049400_1049500,50.0,704,704,0
3764800_3764900,56.0,704,704,0
2500200_2500300,49.0,703,703,0
218900_219000,41.0,702,702,0
3233200_3233300,44.0,700,700,0
2960900_2961000,52.0,699,699,0
3897800_3897900,43.0,699,699,0
3796300_3796400,44.0,698,0,698
3471600_3471700,56.0,697,697,0
2353400_2353500,58.0,696,696,0
1354600_1354700,46.0,695,695,0
3910300_3910400,51.0,695,695,0
2633800_2633900,52.0,694,694,0
2515000_2515100,41.0,692,692,0
2457100_2457200,41.0,690,0,690
2776800_2776900,47.0,690,690,0
1932200_1932300,50.0,689,689,0
2738600_2738700,49.0,688,688,0
4514500_4514600,63.0,685,0,685
754800_754900,66.0,682,0,682
4442600_4442700,57.0,681,681,0
3497800_3497900,52.0,679,679,0
147800_147900,62.0,676,5,21
2277100_2277200,56.0,676,676,0
3005900_3006000,45.0,676,676,0
3170000_3170100,47.0,676,24,2
413600_413700,60.0,676,18,8
1840400_1840500,42.0,675,675,0
797200_797300,59.0,674,0,674
111100_111200,50.0,673,0,673
1245800_1245900,46.0,669,0,669
2654400_2654500,51.0,663,663,0
3634500_3634600,58.0,663,0,663
2096100_2096200,55.0,662,662,0
2701500_2701600,41.0,661,661,0
4059000_4059100,50.0,661,661,0
3431400_3431500,46.0,660,660,0
4388300_4388400,71.0,659,0,659
1085400_1085500,53.0,658,658,0
2304700_2304800,50.0,658,658,0
3392400_3392500,56.0,658,658,0
1642700_1642800,51.0,656,656,0
4016800_4016900,53.0,655,655,0
4183500_4183600,59.0,655,655,0
470200_470300,45.0,653,0,653
3995100_3995200,50.0,652,652,0
3124000_3124100,56.0,651,651,0
3328600_3328700,42.0,649,649,0
3820500_3820600,50.0,649,649,0
2160900_2161000,57.0,648,648,0
286300_286400,63.0,648,648,0
1534700_1534800,68.0,647,647,0
1581700_1581800,59.0,647,647,0
1176900_1177000,52.0,640,640,0
4260000_4260100,69.0,640,640,0
4465700_4465800,68.0,640,640,0
2051000_2051100,48.0,638,638,0
2240300_2240400,60.0,638,0,638
4099000_4099100,45.0,637,0,637
2084800_2084900,59.0,634,0,634
1389000_1389100,42.0,626,626,0
1604400_1604500,41.0,626,626,0
3280300_3280400,48.0,625,19,6
722300_722400,42.0,622,622,0
988800_988900,46.0,620,620,0
4274600_4274700,41.0,618,618,0
1301700_1301800,65.0,616,616,0
2373300_2373400,66.0,616,616,0
3149700_3149800,40.0,616,616,0
1814200_1814300,57.0,615,0,615
3273000_3273100,57.0,612,612,0
4353200_4353300,55.0,609,609,0
4183100_4183200,52.0,604,604,0
301400_301500,78.0,601,0,601
3055500_3055600,48.0,598,0,598
1641200_1641300,51.0,595,0,595
2814400_2814500,49.0,595,0,595
4221000_4221100,58.0,594,594,0
489900_490000,44.0,594,594,0
1032600_1032700,47.0,593,0,593
3562900_3563000,59.0,593,593,0
1160500_1160600,48.0,592,0,592
2672600_2672700,54.0,589,589,0
4529800_4529900,53.0,588,588,0
3584400_3584500,79.0,587,587,0
3058600_3058700,52.0,585,585,0
3145900_3146000,50.0,584,584,0
3503700_3503800,47.0,580,0,580
375500_375600,56.0,580,580,0
2328900_2329000,56.0,578,0,578
4122600_4122700,44.0,578,578,0
1231400_1231500,50.0,577,577,0
3400100_3400200,40.0,577,0,577
445900_446000,54.0,577,577,0
3913800_3913900,43.0,576,0,576
194400_194500,51.0,575,0,575
3966900_3967000,50.0,575,575,0
4486200_4486300,54.0,575,0,575
1748700_1748800,61.0,574,574,0
832000_832100,53.0,573,573,0
335900_336000,56.0,571,571,0
357300_357400,58.0,571,0,571
1098400_1098500,57.0,570,570,0
1405800_1405900,60.0,570,570,0
1541700_1541800,48.0,570,570,0
4418900_4419000,65.0,570,570,0
2128900_2129000,62.0,567,567,0
2342300_2342400,54.0,567,567,0
4105000_4105100,57.0,566,566,0
2308700_2308800,55.0,565,565,0
1765500_1765600,59.0,564,564,0
638000_638100,57.0,564,564,0
2548700_2548800,59.0,563,563,0
2239800_2239900,50.0,562,0,562
4316600_4316700,73.0,561,0,561
4280700_4280800,55.0,560,560,0
1703400_1703500,45.0,559,559,0
2304400_2304500,55.0,559,559,0
3631400_3631500,64.0,559,559,0
4391500_4391600,60.0,559,0,559
1391300_1391400,42.0,558,0,558
3060900_3061000,57.0,558,0,558
4041000_4041100,62.0,558,558,0
1640400_1640500,51.0,557,557,0
2864300_2864400,54.0,555,555,0
4554600_4554700,44.0,555,0,555
383400_383500,51.0,554,554,0
894200_894300,47.0,554,554,0
3649100_3649200,48.0,551,0,551
1666200_1666300,67.0,550,550,0
3956300_3956400,44.0,549,549,0
4423100_4423200,54.0,549,549,0
668000_668100,62.0,549,549,0
4478000_4478100,65.0,548,548,0
2311700_2311800,53.0,547,547,0
3171300_3171400,43.0,547,547,0
2925200_2925300,48.0,546,546,0
3892200_3892300,54.0,546,546,0
3719200_3719300,56.0,545,0,545
4280600_4280700,47.0,545,0,545
301800_301900,64.0,543,543,0
3535900_3536000,62.0,543,543,0
4275500_4275600,57.0,543,543,0
3226700_3226800,42.0,542,542,0
325700_325800,52.0,542,0,542
448400_448500,65.0,542,0,542
1035000_1035100,44.0,541,0,541
1044800_1044900,39.0,541,0,541
4107200_4107300,43.0,541,541,0
2197500_2197600,71.0,540,0,540
312300_312400,54.0,539,0,539
950800_950900,68.0,539,539,0
2781300_2781400,53.0,538,538,0
2946100_2946200,58.0,538,0,538
4391800_4391900,67.0,537,0,537
2105900_2106000,56.0,536,536,0
2955900_2956000,78.0,536,0,536
4471300_4471400,49.0,536,0,536
555900_556000,54.0,536,536,0
1048700_1048800,49.0,535,0,535
1399800_1399900,49.0,535,535,0
2663400_2663500,41.0,535,0,535
3111000_3111100,56.0,535,0,535
933000_933100,46.0,534,534,0
2003900_2004000,74.0,533,533,0
4026700_4026800,51.0,532,532,0
1329400_1329500,65.0,530,0,530
1673600_1673700,53.0,530,530,0
3632200_3632300,61.0,530,530,0
854100_854200,55.0,530,0,530
1461700_1461800,52.0,529,529,0
2197300_2197400,52.0,529,0,529
3795100_3795200,54.0,529,4,19
4263900_4264000,54.0,529,529,0
1692700_1692800,57.0,528,528,0
2603300_2603400,44.0,528,528,0
4472500_4472600,60.0,527,527,0
4027500_4027600,45.0,525,0,525
1818000_1818100,54.0,524,524,0
294700_294800,63.0,523,523,0
3497000_3497100,67.0,522,522,0
4521600_4521700,75.0,520,520,0
182000_182100,50.0,518,518,0
2362100_2362200,62.0,518,518,0
3147700_3147800,57.0,518,0,518
3994300_3994400,64.0,518,518,0
1187400_1187500,52.0,517,517,0
1636500_1636600,56.0,517,517,0
32600_32700,52.0,516,516,0
3957900_3958000,52.0,516,516,0
4274000_4274100,57.0,516,516,0
4284400_4284500,41.0,516,516,0
1931400_1931500,66.0,515,0,515
1449100_1449200,55.0,514,514,0
284300_284400,59.0,513,0,513
3779300_3779400,61.0,513,513,0
3825600_3825700,47.0,513,0,513
2398900_2399000,47.0,511,511,0
1337400_1337500,56.0,510,0,510
2166200_2166300,56.0,509,509,0
3359200_3359300,51.0,509,0,509
865100_865200,49.0,509,509,0
3985500_3985600,73.0,508,508,0
1902500_1902600,49.0,507,507,0
4347500_4347600,56.0,506,506,0
389600_389700,43.0,505,0,505
3387800_3387900,55.0,504,504,0
3516200_3516300,52.0,504,504,0
3848400_3848500,42.0,504,504,0
1853200_1853300,63.0,503,503,0
2959500_2959600,66.0,503,503,0
4188300_4188400,46.0,503,0,503
2254600_2254700,77.0,500,500,0
2338800_2338900,50.0,499,499,0
4130500_4130600,47.0,499,499,0
586100_586200,47.0,499,0,499
2939500_2939600,54.0,498,0,498
3874000_3874100,47.0,497,0,497
4289400_4289500,46.0,496,496,0
2081300_2081400,58.0,494,494,0
212700_212800,56.0,494,0,494
950700_950800,53.0,494,0,494
2066100_2066200,57.0,493,0,493
3636400_3636500,53.0,491,0,491
3151600_3151700,44.0,489,489,0
4354300_4354400,51.0,489,489,0
4386000_4386100,49.0,489,0,489
1185200_1185300,57.0,488,488,0
3166500_3166600,50.0,488,0,488
3624200_3624300,60.0,487,487,0
3724900_3725000,50.0,486,486,0
3754800_3754900,45.0,486,486,0
754900_755000,55.0,486,486,0
4257700_4257800,56.0,485,0,485
1868500_1868600,52.0,484,484,0
2765700_2765800,48.0,484,484,0
3769900_3770000,46.0,484,484,0
4206500_4206600,43.0,483,483,0
4268500_4268600,57.0,483,0,483
1980400_1980500,48.0,482,482,0
1208500_1208600,66.0,480,0,480
204300_204400,46.0,480,480,0
2972500_2972600,50.0,480,0,480
3238400_3238500,47.0,478,478,0
4478500_4478600,49.0,478,478,0
3764200_3764300,61.0,477,0,477
1243700_1243800,53.0,476,0,476
3101900_3102000,46.0,475,0,475
3744700_3744800,57.0,475,475,0
1749800_1749900,47.0,474,474,0
2273500_2273600,54.0,474,474,0
4421100_4421200,57.0,474,474,0
1211700_1211800,49.0,473,473,0
2461200_2461300,49.0,473,0,473
235300_235400,50.0,472,0,472
273000_273100,68.0,472,472,0
2954300_2954400,72.0,472,0,472
675400_675500,54.0,472,472,0
256700_256800,52.0,471,471,0
4419700_4419800,43.0,471,471,0
1453500_1453600,58.0,470,470,0
2742400_2742500,57.0,470,0,470
449500_449600,61.0,470,470,0
119200_119300,44.0,469,469,0
1996900_1997000,56.0,469,469,0
4022400_4022500,57.0,468,468,0
681200_681300,43.0,468,468,0
3639500_3639600,52.0,467,467,0
4206000_4206100,50.0,467,467,0
31800_31900,44.0,464,0,464
593300_593400,53.0,464,0,464
862400_862500,52.0,464,464,0
3603700_3603800,52.0,463,0,463
2847900_2848000,47.0,462,462,0
4063200_4063300,64.0,462,462,0
4161000_4161100,59.0,462,462,0
433300_433400,50.0,462,462,0
931300_931400,48.0,461,461,0
1453800_1453900,55.0,459,459,0
2952800_2952900,53.0,458,458,0
3173000_3173100,47.0,458,458,0
4015600_4015700,51.0,458,458,0
4388600_4388700,68.0,458,0,458
1105700_1105800,60.0,457,457,0
1117300_1117400,39.0,457,457,0
1364900_1365000,46.0,457,0,457
251000_251100,45.0,457,0,457
357600_357700,50.0,457,457,0
1757200_1757300,67.0,456,456,0
3960500_3960600,58.0,456,456,0
4489400_4489500,37.0,456,456,0
1301000_1301100,54.0,455,0,455
1979700_1979800,45.0,455,455,0
3758700_3758800,46.0,455,455,0
4513700_4513800,48.0,455,455,0
821900_822000,59.0,454,454,0
648200_648300,58.0,453,0,453
1918000_1918100,43.0,452,452,0
2151700_2151800,55.0,452,452,0
366100_366200,55.0,452,452,0
4021200_4021300,62.0,452,452,0
302200_302300,59.0,450,0,450
2122900_2123000,54.0,449,449,0
1007000_1007100,49.0,448,0,448
1412200_1412300,53.0,448,448,0
3569900_3570000,57.0,448,0,448
3871000_3871100,62.0,448,0,448
1140300_1140400,45.0,447,447,0
3840200_3840300,50.0,447,447,0
11200_11300,54.0,446,446,0
4027300_4027400,64.0,446,446,0
3315300_3315400,53.0,445,445,0
3792700_3792800,52.0,445,445,0
3200900_3201000,47.0,444,444,0
1025300_1025400,57.0,443,443,0
3125600_3125700,52.0,443,443,0
219600_219700,55.0,442,442,0
